open_plus_X,kill_eod,SL,TP,rok,obchodu,uspesnost,usd
15,0,40.0,20.0,2024,116,0.681,2175.0
15,0,40.0,20.0,2025,148,0.716,19950.0
15,0,40.0,20.0,2026,95,0.674,-2837.5
15,0,25.0,7.5,2016,8,0.875,1175.0
15,0,25.0,7.5,2017,14,0.857,1750.0
15,0,25.0,7.5,2018,77,0.792,950.0
15,0,25.0,7.5,2019,52,0.885,8150.0
15,0,25.0,7.5,2020,127,0.827,8700.0
15,0,25.0,7.5,2021,114,0.842,10650.0
15,0,25.0,7.5,2022,169,0.757,-7475.0
15,0,25.0,7.5,2023,137,0.788,825.0
15,0,25.0,7.5,2024,125,0.792,1500.0
15,0,25.0,7.5,2025,152,0.783,1062.5
15,0,25.0,7.5,2026,96,0.771,-2150.0
10,1,30.0,80.0,2016,20,0.4,2000.0
10,1,30.0,80.0,2017,38,0.526,-600.0
10,1,30.0,80.0,2018,119,0.454,-10475.0
10,1,30.0,80.0,2019,100,0.53,7800.0
10,1,30.0,80.0,2020,153,0.529,2100.0
10,1,30.0,80.0,2021,149,0.577,10362.5
10,1,30.0,80.0,2022,201,0.393,-29387.5
10,1,30.0,80.0,2023,173,0.497,2337.5
10,1,30.0,80.0,2024,161,0.522,5425.0
10,1,30.0,80.0,2025,180,0.483,14412.5
10,1,30.0,80.0,2026,110,0.427,-10725.0
10,1,10.0,10.0,2016,20,0.4,100.0
10,1,10.0,10.0,2017,38,0.526,975.0
10,1,10.0,10.0,2018,119,0.487,-2762.5
10,1,10.0,10.0,2019,100,0.53,3400.0
10,1,10.0,10.0,2020,153,0.556,5287.5
10,1,10.0,10.0,2021,149,0.57,8650.0
10,1,10.0,10.0,2022,201,0.498,-5525.0
10,1,10.0,10.0,2023,173,0.474,-9650.0
10,1,10.0,10.0,2024,161,0.528,625.0
10,1,10.0,10.0,2025,180,0.533,1725.0
10,1,10.0,10.0,2026,110,0.482,-4750.0
15,1,40.0,50.0,2016,8,0.625,2787.5
15,1,40.0,50.0,2017,14,0.357,-837.5
15,1,40.0,50.0,2018,80,0.438,-14750.0
15,1,40.0,50.0,2019,52,0.615,8137.5
15,1,40.0,50.0,2020,127,0.559,9912.5
