vystup,RRR,vstup,X,obchodu,TP,SL,EOD,b_obchod,t,usd,maxdd,kladne_roky,nahodny_long_usd,nad_nahodou_usd
eod,2:1,momentum,40,391,41,141,209,-1.1214833759590792,-1.1335492105697476,-21925.0,-24075.0,5/10,35552.916666666664,-57477.916666666664
eod,2:1,fade,10,1488,212,643,633,-0.3817204301075269,-0.6754053744008999,-28400.0,-44637.5,4/11,35552.916666666664,-63952.916666666664
eod,2:1,fade,15,1182,165,537,480,-0.9005922165820643,-1.4028357697803227,-53225.0,-56850.0,4/11,35552.916666666664,-88777.91666666666
eod,2:1,fade,20,996,163,452,381,0.07906626506024096,0.109213034612075,3937.5,-44712.5,6/11,35552.916666666664,-31615.416666666664
eod,2:1,fade,30,670,107,309,254,-0.9093283582089552,-1.0431094333108633,-30462.5,-43287.5,7/11,35552.916666666664,-66015.41666666666
eod,2:1,fade,40,463,73,222,168,-1.0480561555075594,-0.9918137482352101,-24262.5,-50550.0,3/10,35552.916666666664,-59815.416666666664
eod,3:1,momentum,10,1523,63,587,873,0.047767564018384764,0.08425362634672146,3637.5,-23762.5,4/11,37827.916666666664,-34190.416666666664
eod,3:1,momentum,15,1181,51,452,678,0.4635901778154107,0.7188092055671358,27375.0,-23225.0,7/11,37827.916666666664,-10452.916666666664
eod,3:1,momentum,20,961,45,358,558,0.4562955254942768,0.6428491872034482,21925.0,-18262.5,7/11,37827.916666666664,-15902.916666666664
eod,3:1,momentum,30,626,29,224,373,0.3031150159744409,0.35103142735113296,9487.5,-26237.5,6/10,37827.916666666664,-28340.416666666664
eod,3:1,momentum,40,391,18,142,231,-0.819693094629156,-0.7633711918271671,-16025.0,-19900.0,5/10,37827.916666666664,-53852.916666666664
eod,3:1,fade,10,1488,83,669,736,-0.6698588709677419,-1.0967976505246042,-49837.5,-65125.0,4/11,37827.916666666664,-87665.41666666666
eod,3:1,fade,15,1182,74,549,559,-0.6163282571912013,-0.8716780078625211,-36425.0,-48037.5,5/11,37827.916666666664,-74252.91666666666
eod,3:1,fade,20,996,76,463,457,0.46059236947791166,0.5737352385898202,22937.5,-49575.0,7/11,37827.916666666664,-14890.416666666664
eod,3:1,fade,30,670,55,319,296,-0.6152985074626866,-0.6328896939980531,-20612.5,-45562.5,6/11,37827.916666666664,-58440.416666666664
eod,3:1,fade,40,463,34,230,199,-0.9946004319654428,-0.8509802359122071,-23025.0,-59987.5,3/10,37827.916666666664,-60852.916666666664
hold,"1,5:1",momentum,10,1313,555,758,0,0.6321401370906321,0.9236207621903882,41500.0,-27950.0,6/11,83187.08333333333,-41687.08333333333
hold,"1,5:1",momentum,15,1063,468,595,0,1.4920037629350893,1.945089127423024,79300.0,-28725.0,8/11,83187.08333333333,-3887.0833333333285
hold,"1,5:1",momentum,20,888,392,496,0,1.566722972972973,1.8734878469744083,69562.5,-21825.0,10/11,83187.08333333333,-13624.583333333328
hold,"1,5:1",momentum,30,596,248,348,0,0.3389261744966443,0.33398883180976113,10100.0,-29400.0,7/10,83187.08333333333,-73087.08333333333
hold,"1,5:1",momentum,40,382,157,225,0,0.04712041884816754,0.03689861297267578,900.0,-18950.0,6/10,83187.08333333333,-82287.08333333333
hold,"1,5:1",fade,10,1268,524,744,0,0.11356466876971609,0.16303213572808,7200.0,-35700.0,6/11,83187.08333333333,-75987.08333333333
hold,"1,5:1",fade,15,1067,436,631,0,-0.14948453608247422,-0.19692757947275014,-7975.0,-46462.5,5/11,83187.08333333333,-91162.08333333333
hold,"1,5:1",fade,20,928,379,549,0,-0.1306573275862069,-0.15991517121400764,-6062.5,-40112.5,7/11,83187.08333333333,-89249.58333333333
hold,"1,5:1",fade,30,639,235,404,0,-2.0841158059467917,-2.1489279301333277,-66587.5,-72575.0,2/11,83187.08333333333,-149774.5833333333
hold,"1,5:1",fade,40,452,178,274,0,-0.894358407079646,-0.7734106086340026,-20212.5,-46825.0,4/10,83187.08333333333,-103399.58333333333
hold,2:1,momentum,10,1226,439,787,0,0.9704323001631321,1.1768089202645897,59487.5,-33575.0,7/11,81662.08333333333,-22174.58333333333
hold,2:1,momentum,15,1002,367,634,0,1.4256487025948104,1.5539398345846744,71425.0,-31800.0,8/11,81662.08333333333,-10237.083333333328
