logika,k_ATR,RRR,smer,obchodu,TP_pct,breakeven,edge_pp,R_obchod,t,usd
momentum,0.75,2:1,OBA,1145,31.234866828087167,33.333333333333336,-2.0984665052461686,-0.040217184038865185,-1.1024720399713475,-10062.5
momentum,0.75,3:1,LONG,515,18.0,25.0,-7.0,0.04569251260404592,0.8220785541565457,7712.5
momentum,0.75,3:1,SHORT,630,18.495934959349594,25.0,-6.504065040650406,-0.1512816061437561,-2.5866283467637285,-43287.5
momentum,0.75,3:1,OBA,1145,18.328840970350406,25.0,-6.671159029649594,-0.06268626015675344,-1.5350988077648486,-35575.0
fade,0.25,1:1,LONG,1611,50.0,50.0,0.0,-0.06213076536522368,-2.5444601109357623,-33400.0
fade,0.25,1:1,SHORT,1659,49.32975871313673,50.0,-0.6702412868632734,-0.08331748033201897,-3.550584421466743,-91837.5
fade,0.25,1:1,OBA,3270,49.6684350132626,50.0,-0.33156498673739776,-0.07287962167406568,-4.306484724485071,-125237.5
fade,0.25,"1:1,5",LONG,1611,61.228406909788866,60.00000000000001,1.228406909788859,-0.047753908518755425,-2.381514816501426,-20550.0
fade,0.25,"1:1,5",SHORT,1659,60.56518946692358,60.00000000000001,0.5651894669235702,-0.0679914013440856,-3.491614871642801,-70125.0
fade,0.25,"1:1,5",OBA,3270,60.89743589743589,60.00000000000001,0.8974358974358836,-0.058021186988854126,-4.153252873258732,-90675.0
fade,0.25,2:1,LONG,1611,28.57142857142857,33.333333333333336,-4.761904761904766,-0.0842196818826741,-2.6182404009199796,-39675.0
fade,0.25,2:1,SHORT,1659,30.844645550527904,33.333333333333336,-2.4886877828054317,-0.07990822459642635,-2.562229888228853,-89100.0
fade,0.25,2:1,OBA,3270,29.706325301204817,33.333333333333336,-3.6270080321285185,-0.08203230951634839,-3.6637310406749806,-128775.0
fade,0.25,3:1,LONG,1611,16.14539306846999,25.0,-8.85460693153001,-0.08986778558155886,-2.5050561539644156,-46975.0
fade,0.25,3:1,SHORT,1659,18.70805369127517,25.0,-6.291946308724832,-0.10146461857942432,-2.8952021484609074,-100400.0
fade,0.25,3:1,OBA,3270,17.431578947368422,25.0,-7.568421052631578,-0.09575131645111815,-3.819921152212391,-147375.0
fade,0.5,1:1,LONG,1009,48.94291754756871,50.0,-1.0570824524312883,-0.08082173775147497,-2.634586767903971,-32625.0
fade,0.5,1:1,SHORT,990,46.81647940074906,50.0,-3.18352059925094,-0.12134770902277062,-4.156002343119347,-32300.0
fade,0.5,1:1,OBA,1999,47.96794504865483,50.0,-2.0320549513451667,-0.10089212872625371,-4.7621974873245065,-64925.0
fade,0.5,"1:1,5",LONG,1009,60.32719836400818,60.00000000000001,0.3271983640081757,-0.0627482549226187,-2.4751891695871566,-24912.5
fade,0.5,"1:1,5",SHORT,990,58.545034642032334,60.00000000000001,-1.454965357967673,-0.10399198409945709,-4.185237945193186,-24112.5
fade,0.5,"1:1,5",OBA,1999,59.490238611713664,60.00000000000001,-0.5097613882863428,-0.08317411379458968,-4.684708580024866,-49025.0
fade,0.5,2:1,LONG,1009,27.971188475390157,33.333333333333336,-5.3621448579431785,-0.10747718763024945,-2.672661434543764,-44437.5
fade,0.5,2:1,SHORT,990,29.190751445086704,33.333333333333336,-4.142581888246632,-0.08857990958631701,-2.326216653869802,-9212.5
fade,0.5,2:1,OBA,1999,28.524590163934427,33.333333333333336,-4.808743169398909,-0.09811835558247901,-3.542136201110018,-53650.0
fade,0.5,3:1,LONG,1009,17.5531914893617,25.0,-7.446808510638299,-0.07497004040297767,-1.6243694131969804,-19262.5
fade,0.5,3:1,SHORT,990,18.949044585987263,25.0,-6.050955414012737,-0.0644736966502579,-1.4724586528840982,-2712.5
fade,0.5,3:1,OBA,1999,18.18840579710145,25.0,-6.811594202898551,-0.06977175110073026,-2.192762877260759,-21975.0
fade,0.75,1:1,LONG,630,49.391304347826086,50.0,-0.608695652173914,-0.07724435324531843,-2.008985587571293,-23050.0
fade,0.75,1:1,SHORT,515,44.24083769633508,50.0,-5.759162303664922,-0.14803539978011157,-3.7933583697869566,-27187.5
fade,0.75,1:1,OBA,1145,47.33542319749217,50.0,-2.664576802507831,-0.10908486762559658,-3.967141912604128,-50237.5
fade,0.75,"1:1,5",LONG,630,61.03678929765886,60.00000000000001,1.0367892976588564,-0.05887598292665901,-1.8459199353718916,-18950.0
fade,0.75,"1:1,5",SHORT,515,57.38095238095238,60.00000000000001,-2.6190476190476275,-0.12323607617184416,-3.6566066892391094,-22487.5
fade,0.75,"1:1,5",OBA,1145,59.52848722986247,60.00000000000001,-0.47151277013753656,-0.08782397246488641,-3.78567577359478,-41437.5
fade,0.75,2:1,LONG,630,30.63583815028902,33.333333333333336,-2.6974951830443175,-0.07038232255931078,-1.3674267561443847,-23225.0
fade,0.75,2:1,SHORT,515,24.21383647798742,33.333333333333336,-9.119496855345915,-0.15375634167849256,-3.1955261554681322,-33450.0
fade,0.75,2:1,OBA,1145,28.19593787335723,33.333333333333336,-5.137395459976105,-0.10788242722863708,-3.0262740573579228,-56675.0
fade,0.75,3:1,LONG,630,17.03056768558952,25.0,-7.969432314410479,-0.08420374133503183,-1.461069086950037,-33412.5
fade,0.75,3:1,SHORT,515,13.148788927335639,25.0,-11.851211072664361,-0.18230847158457444,-3.4885890957555503,-39087.5
fade,0.75,3:1,OBA,1145,15.528781793842034,25.0,-9.471218206157966,-0.12832944970054663,-3.2503829584694794,-72500.0
