family,rclass,n,pos_disc,pos_val,pos_oos,med_pf,med_sharpe,med_expo,min_share,accepted
C<prevWeekVAL,short_term,570,0.6140350877192983,0.5754385964912281,0.9631578947368421,1.4652815155660022,0.5354204333109872,0.19690635451505017,0.5754385964912281,False
Inside_BuyStop,LT_bull,342,0.543859649122807,0.6345029239766082,0.7894736842105263,1.2400433486859945,0.23641890305900695,0.15802675585284282,0.543859649122807,False
ConnorsRSI<#,short_term,2394,0.5426065162907269,0.5939849624060151,0.8304093567251462,1.5569829512067404,0.41706346277497314,0.08612040133779264,0.5426065162907269,False
STOP@#dHigh,LT_bull,1026,0.8187134502923976,0.530214424951267,0.8031189083820662,1.2886074736733737,0.4213220882991938,0.42474916387959866,0.530214424951267,False
RSI#<#,short_term,11400,0.5212280701754386,0.6218421052631579,0.8542982456140351,1.6316544842016358,0.4596806149204167,0.07608695652173914,0.5212280701754386,False
LMT_Down#_#ATR,short_term,1140,0.6017543859649123,0.5078947368421053,0.8429824561403508,1.559949100331385,0.3613845268699003,0.05852842809364549,0.5078947368421053,False
BigDown>#ATR,LT_bull,1026,0.5087719298245614,0.5038986354775828,0.7719298245614035,1.3558086833132812,0.2912240339396861,0.07190635451505016,0.5038986354775828,False
C<dvwap#sd,LT_bull,1710,0.4976608187134503,0.6502923976608187,0.9982456140350877,1.6289497639140729,0.7513752384679682,0.3494983277591973,0.4976608187134503,False
C<prev_qvwap,LT_bull,342,0.4853801169590643,0.827485380116959,0.9736842105263158,1.5583002857708734,0.3965063197429639,0.10451505016722408,0.4853801169590643,False
LowSweep_prev_wvwap,LT_bull,342,1.0,0.4824561403508772,1.0,1.8415995867530432,0.8634857053792313,0.22826086956521738,0.4824561403508772,False
C<wvwap#sd,LT_bull,1710,0.6567251461988304,0.464327485380117,0.9894736842105263,1.5804597875410482,0.670071347085,0.31438127090301005,0.464327485380117,False
NR#_BuyStop,short_term,570,0.4631578947368421,0.47192982456140353,0.9543859649122807,1.3452712772614042,0.4259581046106082,0.25125418060200666,0.4631578947368421,False
LMT@mvwap#sd,short_term,1710,0.4567251461988304,0.7619883040935672,0.9567251461988304,1.4744643296715716,0.5429402043283562,0.24540133779264214,0.4567251461988304,False
LMT@mvwap#sd,LT_bull,1026,0.6491228070175439,0.45614035087719296,0.9883040935672515,1.4578266317548818,0.5541013292171602,0.2583612040133779,0.45614035087719296,False
