X,kill,SL,RRR,smer,n,tp,win,be,usd,ptt,t,dd,streak
15,Yes,15.0,10,long,1075,0.186,41.116,9.091,25237.5,0.47,0.727,-17725.0,13
15,Yes,15.0,10,short,1080,0.463,34.352,9.091,39312.5,0.728,0.91,-36612.5,17
15,Yes,2.0,15,long,1075,3.907,11.163,6.25,-14012.5,-0.261,-1.188,-20025.0,58
15,Yes,2.0,15,short,1080,4.444,6.389,6.25,-45375.0,-0.84,-4.055,-47275.0,107
15,Yes,3.0,15,long,1075,2.977,15.721,6.25,5012.5,0.093,0.303,-9212.5,29
15,Yes,3.0,15,short,1080,3.796,8.889,6.25,-39412.5,-0.73,-2.377,-46862.5,76
15,Yes,5.0,15,long,1075,1.116,23.07,6.25,28800.0,0.536,1.277,-8887.5,28
15,Yes,5.0,15,short,1080,1.852,14.815,6.25,-20987.5,-0.389,-0.846,-45337.5,48
15,Yes,7.5,15,long,1075,0.093,29.209,6.25,19875.0,0.37,0.77,-14887.5,28
15,Yes,7.5,15,short,1080,0.741,21.296,6.25,687.5,0.013,0.021,-35700.0,38
15,Yes,10.0,15,long,1075,0.093,34.233,6.25,25200.0,0.469,0.858,-17825.0,17
15,Yes,10.0,15,short,1080,0.463,26.852,6.25,26387.5,0.489,0.699,-33187.5,25
15,Yes,15.0,15,long,1075,0.093,41.116,6.25,29362.5,0.546,0.82,-17725.0,13
15,Yes,15.0,15,short,1080,0.0,34.352,6.25,35100.0,0.65,0.82,-36612.5,17
15,Yes,2.0,20,long,1075,1.953,10.605,4.762,-14500.0,-0.27,-1.147,-17875.0,58
15,Yes,2.0,20,short,1080,2.87,5.833,4.762,-43962.5,-0.814,-3.519,-46612.5,107
15,Yes,3.0,20,long,1075,1.023,15.349,4.762,-1600.0,-0.03,-0.096,-13325.0,29
15,Yes,3.0,20,short,1080,2.315,8.426,4.762,-40987.5,-0.759,-2.284,-50812.5,76
15,Yes,5.0,20,long,1075,0.186,23.07,4.762,24437.5,0.455,1.095,-8887.5,28
15,Yes,5.0,20,short,1080,0.926,14.722,4.762,-15550.0,-0.288,-0.587,-44512.5,48
15,Yes,7.5,20,long,1075,0.093,29.209,4.762,21750.0,0.405,0.828,-14887.5,28
15,Yes,7.5,20,short,1080,0.37,21.204,4.762,-937.5,-0.017,-0.029,-38225.0,40
15,Yes,10.0,20,long,1075,0.0,34.233,4.762,25575.0,0.476,0.868,-17825.0,17
15,Yes,10.0,20,short,1080,0.0,26.852,4.762,22175.0,0.411,0.595,-33187.5,25
15,Yes,15.0,20,long,1075,0.093,41.116,4.762,33112.5,0.616,0.891,-17725.0,13
15,Yes,15.0,20,short,1080,0.0,34.352,4.762,35100.0,0.65,0.82,-36612.5,17
